column_order,varname,varTitle,longDescription,panelDataType,dictionaryDataType
2265,IDX_HR,ID of institution where data are reported for the Human Resources (HR) component,"UNITID number of parent institution reporting Human Resource (HR) data.  IDX_HR contains the UNITID number of the parent institution institution. This data field is used to link child institutions  with the parent institution.  HR  include Employee by Assigned Position, Salaries, and  Fall Staff.",double,N
2266,IDX_OM,UNITID of parent institution reporting Outcome Measures,UNITID number of parent institution reporting Graduation Rate data.  IDX_OM contains the UNITID number of the parent institution institution reporting Outcome Measures. This data field is used to link child institutions  with the parent institution.,double,N
2267,IDX_S,ID number of parent institution - Fall Staff,UNITID number of parent institution reporting Fall Staff data  IDX_S contains the UNITID number of the parent institution institution. This data field is used to link child institutions  with the parent institution.,double,N
2268,IDX_SA,ID number of parent institution - Salaries,UNITID number of parent institution reporting faculty salary data  IDX_SA contains the UNITID number of the parent institution institution. This data field is used to link child institutions  with the parent institution.,double,N
2269,IDX_SFA,ID number of parent institution - Student Financial Aid,UNITID number of parent institution reporting Student Financial Aid data  IDX_SFA contains the UNITID number of the parent institution institution. This data field is used to link child institutions  with the parent institution.,double,N
2270,IGRNT_A,Average amount of institutional grant aid received by full-time first-time undergraduates,"Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Student Financial Aid and Student Counts - Financial Aid

Average amount of institutional grants (scholarships/fellowships) received by full-time, first-time degree/certificate-seeking undergraduate students.

Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. 
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
2271,XIGRNT_A,Imputation flag for IGRNT_A,Synthetic dictionary row generated from imputationvar mapping.,string,
2272,IGRNT_N,Number of full-time first-time undergraduates receiving  institutional grant aid,"Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Student Financial Aid and Student Counts - Financial Aid

Number of full-time, first-time degree/certificate-seeking undergraduate students who received institutional grants (scholarships/fellowships).

Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. 
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
2273,XIGRNT_N,Imputation flag for IGRNT_N,Synthetic dictionary row generated from imputationvar mapping.,string,
2274,IGRNT_P,Percent of full-time first-time undergraduates receiving institutional grant aid,"Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Student Financial Aid and Student Counts - Financial Aid

Percentage of full-time, first-time degree/certificate-seeking undergraduate students who received institutional grants (scholarships/fellowships).

Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. 
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
2275,XIGRNT_P,Imputation flag for IGRNT_P,Synthetic dictionary row generated from imputationvar mapping.,string,
2276,IGRNT_T,Total amount of institutional grant aid received by full-time first-time undergraduates,"Total amount of institutional grants (scholarships/fellowships) awarded to full-time, first-time degree/certificate-seeking undergraduate students. _x000D_
_x000D_
Institutional grants - Scholarships and fellowships granted and funded by the institution and/or individual departments within the institution, (i.e., instruction, research, public service) that may contribute indirectly to the enhancement of these programs . Includes scholarships targeted to certain individuals (e.g., based on state of residence, major field of study, athletic team participation) for which the institution designates the recipient. _x000D_
_x000D_
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate _x000D_
_x000D_
Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. _x000D_
_x000D_
First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs",double,N
2277,XIGRNT_T,Imputation flag for IGRNT_T,Synthetic dictionary row generated from imputationvar mapping.,string,
2278,IMP_ADM,Type of imputation method - Admissions component,Type of imputation method - Admissions component,string,N
2279,IMP_AL,Type of imputation method - Academic Libraries,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2280,IMP_C,Type of imputation method Completions,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2281,IMP_E12,Type of imputation method - 12 month enrollment,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2282,IMP_EAP,Type of Imputation method - EAP,Identifies the methodology used to impute data for Employee by Assigned Position  component of nonresponding institutions,string,N
2283,IMP_EF,Type of imputation method - Fall enrollment,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2284,IMP_F,Type of imputation method  Finance,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2285,IMP_GR,Imputation method - Graduation Rates,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2286,IMP_GR2,Imputation method - Graduation Rates 200,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2287,IMP_HR,Type of Imputation method - Human Resources (HR) component,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2288,IMP_IC,Type of imputation method Institutional Characteristics,Imputation status of the institution - Institutional characteristics,string,N
2289,IMP_OM,Imputations method - Outcome Measures,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2290,IMP_S,Type of Imputation method Fall Staff,Identifies the methodology used to impute data for Fall Staff component of nonresponding institutions,string,N
2291,IMP_SA,Type of Imputation method - Salaries,Identifies the methodology used to impute data for faculty salary component of nonresponding institutions,string,N
2292,IMP_SFA,Type of imputation method - Student Financial Aid,Type of imputation method used for imputing data for nonresponding institutions. Imputations methods include using reported data from the prior year; using reported data from another institution (Nearest Neighbor); and using Group median data from a similar group of institutions.,string,N
2293,INSTCAT,Institutional category,"Institutional category was derived using the level of offerings reported on the Institutional Characteristics (IC) component and the number and level of awards that were reported on the Completions (C) component._x000D_
_x000D_
Category descriptions:_x000D_
_x000D_
1) Degree-granting, graduate with no undergraduate degrees - These institutions offer a Master's degree, Doctor's degree  or a First-professional degree and do not offer a Bachelor's degree or an Associate's degree. _x000D_
_x000D_
2) Degree-granting, primarily baccalaureate or above - These institutions offer a Bachelor's degree, Master's degree,Doctor's degree or a First-professional degree.  Also, the total number of degrees/certificates at or above the bachelor's level awarded divided by the total number of degrees/certificates awarded is greater than 50 percent. _x000D_
_x000D_
3) Degree-granting, not primarily baccalaureate or above - These institutions offer a Bachelor's degree, Master's degree, Doctor's degree,or a First-professional degree.  Also, the total number of degrees/certificates at or above the bachelor's level awarded divided by the total number of degrees/certificates awarded must be less than or equal to 50 percent._x000D_
_x000D_
4) Degree-granting, Associate's and certificates - Institutions offer an Associate's degree and may offer other postsecondary certificates, awards or diplomas of less than one academic year; at least one but less-than two academic years; at least two but less-than four academic years. This category also includes institutions that offer a postbaccalaureate certificate, Post-master's certificate or a First-professional certificate and the highest degree offered is an Associate's degree._x000D_
_x000D_
5) Nondegree-granting, above the baccalaureate - Institutions do not offer Associate's, Bachelor's, Master's, Doctor's or First-professional degrees, but offer either Postbaccaulaureate, Post-master's or First-professional certificates. _x000D_
_x000D_
6) Nondegree-granting, sub-baccalaureate - Institutions do not offer Associate's, Bachelor's , Master's, Doctor's, or First-professional degrees, or certificates above the baccalaureate level. They do offer postsecondary certificates, awards or diplomas of less than one academic year; at least one but less than two academic years; or at least two but less than four academic years._x000D_
_x000D_
Technical details for Institutional Category (INSTCAT):_x000D_
_x000D_
Total degrees and certificates and total bachelor's degrees and all other degrees/certificates above the bachelor's degree awarded are derived using data from the Completions component._x000D_
_x000D_
Total bachelor's degrees and all other degrees/certificates above the bachelor's degree is the sum of: _x000D_
_x000D_
Bachelor's degrees (CTOTALT,AWLEVEL=5,MAJORNUM=1)_x000D_
Postbaccalaureate certificates (CTOTALT,AWLEVEL=6,MAJORNUM=1)_x000D_
Master's degrees (CTOTALT,AWLEVEL=7,MAJORNUM=1)_x000D_
Post-master's certificates (CTOTALT,AWLEVEL=8,MAJORNUM=1)_x000D_
Doctor's degrees (CTOTALT,AWLEVEL=9,MAJORNUM=1)_x000D_
First-professional degrees (CTOTALT,AWLEVEL=10,MAJORNUM=1)_x000D_
First-professional certificates (CTOTALT,AWLEVEL=11,MAJORNUM=1)_x000D_
_x000D_
Total degrees and certificates is the sum of Bachelor degrees and all other degrees/certificates above the bachelors degree as defined above added to the following:_x000D_
_x000D_
Associate's degrees (CTOTALT,AWLEVEL=3,MAJORNUM=1)_x000D_
Postsecondary certificates, awards or diplomas of at least two but less-than four academic years _x000D_
   (CTOTALT,AWLEVEL=4, MAJORNUM=1)._x000D_
Postsecondary certificates, awards or diplomas of at least one but less-than two academic years_x000D_
   (CTOTALT,AWLEVEL=2,MAJORNUM=1); _x000D_
Postsecondary certificates, awards or diplomas of less than one academic year _x000D_
    (CTOTALT,AWLEVEL=1,MAJORNUM=1) _x000D_
_x000D_
Institutions are classified as Degree-granting (DEGGRANT=1) or Nondegree-granting(DEGGRANT=2) using level of offerings data reported on the Institutional Characteristics component. Degree-granting institutions offer an Associate's (LEVEL3=1),Bachelor's (LEVEL5=1, Master's (LEVEL7=1), Doctoral (LEVEL9=1), or a First-Professional (LEVEL10=1) degree. Any institution that offers only certificates are Nondegree-granting._x000D_
_x000D_
Nondegree-granting institutions that offer a postbaccalaureate certificate (LEVEL6=1) or a post-master's certificate (LEVEL8=1) or a First-professional certificate (LEVEL11=1) are classified as Nondegree-granting, above the baccalaureate (INSTCAT=5)._x000D_
_x000D_
Nondegree-granting institutions that only offer certificates of less-than four academic years are classified as Nondegree-granting, sub-baccalaureate (INSTCAT=6)._x000D_
_x000D_
Degree-granting institutions whose highest degree granted are Associate's (HDEGOFFR=40) are classified as Degree-granting, Associate's and certificates (INSTCAT=4). (There are a few 4-year institutions that grant Postbaccalaureate or Post-master's or First-professional certificates in this category)._x000D_
_x000D_
Degree-granting institutions that do not grant a Bachelor's degree (LEVEL5=0) and do not grant an Associate's degree (LEVEL3=0) are classified as Degree-granting, graduate with no undergraduate degrees (INSTCAT=1)._x000D_
_x000D_
The remaining degree-granting institutions offer a bachelor's degree or an associate's degree, or both._x000D_
For these institutions a percent of bachelor's degrees and all other degrees/certificates above the bachelor's degree of  total degrees and certificates is generated. If the percent is greater than 50, institutions are classified as Degree-granting, primarily baccalaureate or above (INSTCAT=2), If the percent is 50 or less, institutions are classified as Degree-granting, not primarily baccalaureate or above (INSTCAT=3)._x000D_
_x000D_
Inactive institutions (CYACTIVE in (2,3)) and administrative units (Sector=0) were coded as not applicable. All Non-Title IV institutions that did not respond to the  IC or Completions components were coded as not reported. _x000D_
Degree-granting institutions whose completions data are reported with their parent institution were assigned the same code as the parent institution._x000D_
New degree-granting institutions that report offering a bachelor's degree on the current institutional characteristics file for the upcoming academic year, and have not yet reported bachelor's degrees on the current completions that covers the previous academic year  June 1-July 30 were assigned as follows:_x000D_
_x000D_
If an institution reported a zero in any program (CIP code) for bachelor's degrees or above (indicating the level was offered) and did not report a zero for any program (CIP code) at any level below the bachelor's, the institution was classified as Degree-granting, primarily baccalaureate or above. If an institution reported a zero in any program (CIP code) at any level below the bachelor's degree and did not report a zero for any program (CIP code) for bachelor's degrees or above, the institution was classified as Degree-granting, not primarily baccalaureate or above._x000D_
_x000D_
For institutions that reported zeros for bachelor's degrees of above and for levels below the bachelor's, the maximum number of programs by level was used to determine the primary classification.",string,N
2294,INSTNM,Institution (entity) name,Institution (entity) name,string,A
2295,INSTSIZE,Institution size category,"Institution size category based on total students enrolled for credit, Fall 2005",string,N
2296,INSTTOYR,Provided instruction at least two consecutive years,"Institution has provided postsecondary instruction at least two
consecutive years (except for normal vacation periods)? A change in name or ownership of this institution during this two year period is NOT relevant for the purpose of answering this question.",string,N
2297,ISPFEE1,Chiropractic: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Chiropractic (D.C. or D.C.M.) - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2298,ISPFEE10,Theology: In-state required fees,"List the typical tuition and required fees for a full-time first-professional student for the full academic year 2004-05 

Required fees for a full-time first-professional student
for a full academic year, in-state theology


IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. 
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception.
FIRST-PROFESSIONAL STUDENT A student enrolled in any of the following degree programs: 
Chiropractic (D.C. or D.C.M.), Osteopathic Medicine (D.O.), Dentistry (D.D.S. or D.M.D.) 
Pharmacy (Pharm.D.) Law (L.L.B., J.D.) Podiatry (D.P.M., D.P., or Pod.D.),Medicine (M.D.) 
Theology (M.Div., M.H.L., B.D., or Ordination), Optometry (O.D.) Veterinary Medicine (D.V.M.)
FULL-TIME First-professional - As defined by the institution 
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2299,ISPFEE11,Other first-professional: In-state required fees,"List the typical tuition and required fees for a full-time first-professional student for the full academic year 2004-05 

Required fees for a full-time first-professional student
for a full academic year, in-state other first-professional


IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. 
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception.
FIRST-PROFESSIONAL STUDENT A student enrolled in any of the following degree programs: 
Chiropractic (D.C. or D.C.M.), Osteopathic Medicine (D.O.), Dentistry (D.D.S. or D.M.D.) 
Pharmacy (Pharm.D.) Law (L.L.B., J.D.) Podiatry (D.P.M., D.P., or Pod.D.),Medicine (M.D.) 
Theology (M.Div., M.H.L., B.D., or Ordination), Optometry (O.D.) Veterinary Medicine (D.V.M.)
FULL-TIME First-professional - As defined by the institution 
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2300,ISPFEE2,Dentistry: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Dentistry (D.C. or D.C.M.) - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2301,ISPFEE3,Medicine: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Medicine - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2302,ISPFEE4,Optometry: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Optometry - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2303,ISPFEE5,Osteopathic Medicine: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Osteopathic Medicine - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2304,ISPFEE6,Pharmacy: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Pharmacy- In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2305,ISPFEE7,Podiatry: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Podiatry - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2306,ISPFEE8,Veterinary Medicine: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Veterinary Medicine - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
2307,ISPFEE9,Law: In-state required fees,"List the typical tuition and required fees for a full-time doctor's professional practice student for the full academic year _x000D_
_x000D_
Law - In-state required fees _x000D_
_x000D_
IN-STATE REQUIRED FEES - The fees charged by institutions to those students who meet the state's or institution's residency requirements. _x000D_
REQUIRED FEES - Fixed sum charged to students for items not covered by tuition and required of such a large proportion of all students that the student who does NOT pay the charge is an exception._x000D_
Doctor's professional practice - A doctor's degree that is conferred upon completion of a program providing the knowledge and skills for the recognition, credential, or license required for professional practice. The degree is awarded after a period of study such that the total time to the degree, including both pre-professional and professional preparation, equals at least six full-time equivalent academic years. Some of these degrees were formerly classified as first-professional and may include: Chiropractic (D.C. or D.C.M.); Dentistry (D.D.S. or D.M.D.); Law (L.L.B. or J.D.); Medicine (M.D.); Optometry (O.D.); Osteopathic Medicine (D.O); Pharmacy (Pharm.D.); Podiatry (D.P.M., Pod.D., D.P.); or, Veterinary Medicine (D.V.M.), and others, as designated by the awarding institution._x000D_
Full-time doctor's professional practice - As defined by the institution _x000D_
ACADEMIC YEAR - The period of time generally extending from September to June; usually equated to 2 semesters or trimesters, 3 quarters, or the period covered by a 4-1-4 plan.",double,N
